ROLL,ACTION_1,ACTION_2,DESCRIPTIONS_1,DESCRIPTIONS_2,ADVENTURE_TONE,ALIEN_SPECIES,ANIMAL_ACTIONS,ARMY_DESCRIPTORS,CAVERN_DESCRIPTORS,CHARACTERS,CHARACTERS_ACTIONS_COMBAT,CHARACTERS_ACTIONS_GENERAL,CHARACTERS_APPEARANCE,CHARACTERS_BACKGROUND,CHARACTERS_CONVERSATIONS,CHARACTERS_DESCRIPTORS,CHARACTERS_IDENTITY,CHARACTERS_MOTIVATION,CHARACTERS_PERSONALITY,CHARACTERS_SKILLS,CHARACTERS_TRAITS_FLAWS,CITY_DESCRIPTORS,CIVILZATION_DESCRIPTORS,CREATURE_ABILITIES,CREATURE_DESCRIPTORS,CRYPTIC_MESSAGE,CURSES,DOMICILE_DESCRIPTORS,DUNGEON_DESCRIPTORS,DUNGEON_TRAPS,FOREST_DESCRIPTORS,GODS,LEGENDS,LOCATIONS,MAGIC_ITEM_DESCRIPTORS,MUTATION_DESCRIPTORS,NAMES,NOBLE_HOUSE,OBJECTS,PLOT_TWISTS,POWERS,SCAVENGING_RESULTS,SMELLS,SOUNDS,SPELL_EFFECTS,STARSHIP_DESCRIPTORS,TERRAIN_DESCRIPTORS,UNDEAD_DESCRIPTORS,VISION_DREAMS
49,Helpfully,Interior,Helpfully,Juvenile,Inquire,Intimidating,Helpless,Loyal,Huge,Helpless,Harm,Imitate,Large,Good,Helpless,Fancy,Investigator,Innocent,Honor,Inspect,Lacking,Leadership,Generous,Imitate,Liquid,Instruction,Health,Light,Information,Fear,Lean,Gifts,Help,Intense,Illusion,Imitate,Len,Loyal,Important,Lie,Friend,Large,Lacking,Information,Hamper,Lethal,Magnificent,Intelligent,Important
50,Helplessly,Investment,Helplessly,Lacking,Inspect,Large,Hungry,Mighty,Icy,Hurt,Harsh,Important,Lavish,Guided,Hopeless,Fast,Judge,Intellect,Humble,Intellect,Large,Liberty,Greedy,Immune,Loud,Intrigues,Helpless,Loud,Interesting,Fight,Ledge,Glorious,Helpless,Intriguing,Imbue,Immunity,Lin,Magnificent,Inactive,Limit,Harm,Lavish,Laden,Innocent,Harm,Loud,Masses,Large,Incomplete
51,Hopelessly,Leadership,Hopelessly,Large,Intellect,Lethal,Hunt,Mysterious,Interesting,Important,Hasty,Imprison,Lean,Hard,Ideas,Foul,Killer,Intolerance,Humorous,Invade,Leadership,Loud,Happy,Imprison,Mammalian,Language,Home,Magnificent,Large,Fire,Lethal,Good,Hero,Lively,Imitate,Imprison,Location,Malice,Information,Location,Heal,Lean,Malodorous,Intense,Heal,Magnificent,Mechanical,Leadership,Information
52,Innocently,Legal,Innocently,Lavish,Intense,Levitating,Ignore,Normal,Large,Inactive,Hide,Increase,Limbs,Harm,Inform,Frightened,Laborer,Investment,Inconsistent,Investigative,Legal,Magnificent,Healthy,Increase,Mandibles,Leadership,Illness,Mechanical,Lavish,Floor,Loud,Guide,Hidden,Lonely,Increase,Increase,Ly,Mighty,Intriguing,Lucky,Heat,Less,Meaningful,Interesting,Helpful,Maintenance,Message,Lethal,Instruction
53,Intensely,Location,Intensely,Lean,Interesting,Liquid,Imitate,Path,Ledge,Influential,Imitate,Inspect,Lithe,Harsh,Innocent,Gentle,Lackey,Jealousy,Independent,Knowledge,Less,Masses,Helpful,Intelligent,Masculine,Legal,Illusions,Messy,Lethal,Frightening,Magnificent,Harm,Historical,Long,Information,Information,Mah,Military,Large,Mental,Help,Lethal,Medicinal,Irritating,Ice,Meaningful,Mighty,Light,Liberty
54,Interestingly,Military,Interestingly,Less,Intrigue,Mammalian,Implore,Persecute,Lethal,Innocent,Imprison,Intense,Masculine,Heal,Inquire,Harmful,Law,Joy,Interesting,Leadership,Lethal,Meaningful,Helpless,Itself,Mechanical,Legend,Imprison,Modern,Light,Harm,Majestic,Harsh,Illness,Loud,Inhibit,Inspect,Military,Misfortune,Lethal,Missing,Hide,Mechanical,Metallic,Loud,Illusion,Mechanical,Misfortune,Limited,Lies
55,Irritatingly,Misfortune,Irritatingly,Lethal,Lavish,Many-eyed,Imprison,Power,Light,Intense,Kill,Juvenile,Mature,Helped,Intense,Helpful,Leader,Justice,Intolerant,Legal,Limited,Mechanical,Historical,Lethal,Metallic,Liberty,Incapacity,Mundane,Magnificent,Heat,Masses,Heal,Important,Meaningful,Instant,Large,Misdeed,Move,Light,Mundane,Illusion,Medicinal,Mildew,Machinery,Imbue,Message,Mountainous,Lonely,Love
56,Joyfully,Mundane,Joyfully,Lively,Legal,Militaristic,Inspect,Problems,Loud,Knowledgeable,Lead,Kind,Messy,Heroic,Interesting,Heroic,Legal,Leader,Irresponsible,Lethal,Loyal,Messy,Important,Light,Movement,Lies,Information,Mysterious,Malice,Heavy,Mature,Humanoid,Imprison,Messy,Jewelry,Learn,N,Mysterious,Liquid,Mystery,Imbue,Messy,Moist,Meaningful,Immunity,Messy,Multiple,Love,Malice
57,Kindly,Nature,Kindly,Lonely,Lethal,Mysterious,Intense,Punish,Magnificent,Large,Lethal,Lazy,Mighty,Humble,Intolerance,Humorous,Lost,Legal,Knowledgeable,Lie,Mental,Mighty,Industrial,Limited,Multiple,Lost,Intellect,Natural,Meaningful,Helpless,Message,Illness,Increase,Mobile,Lethal,Lethal,Nah,Neglect,Loud,Necessary,Immunity,Misfortune,Mossy,Metallic,Imprison,Mighty,Mundane,Macabre,Masses
58,Lazily,Needs,Lazily,Lovely,Light,Nightmarish,Irritating,Pursue,Message,Lonely,Liberty,Leadership,Modern,Humiliation,Irritating,Hurt,Mechanical,Loss,Larcenous,Master,Military,Military,Influential,Mind,Mutant,Love,Ironic,Neat,Mechanical,Horrible,Mighty,Imprison,Inform,Modern,Life,Limb,Nature,Old,Majestic,News,Increase,Mundane,Musky,Muffled,Information,Military,Mysterious,Malice,Mechanical
59,Lightly,News,Lightly,Magnificent,Macabre,Odd,Juvenile,Quiet,Messy,Loud,Lie,Lethal,Mundane,Imprisonment,Joyful,Ignorant,Mediator,Love,Leader,Mechanical,Misfortune,Miserable,Intolerant,Move,Natural,Malice,Jealously,Neglected,Messages,Illusion,Mundane,Increase,Innocent,Mundane,Light,Limit,Nee,Oppose,Meaningful,Object,Information,Mysterious,Musty,Multiple,Inspect,Modern,Natural,Message,Message
60,Loosely,Normal,Loosely,Mature,Magnificent,Oppressive,Lazy,Ready,Minerals,Loyal,Loud,Loud,Muscular,Independent,Judgmental,Impulsive,Merchant,Loyalty,Likable,Medical,Missing,Misfortune,Large,Multiple,Nature,Messy,Joy,Nondescript,Messy,Imprison,Mysterious,Jealous,Intrigue,Mysterious,Limited,Mental,Nn,Oppress,Mechanical,Oppose,Life,Nature,Mysterious,Music,Life,Multiple,Nature,Messy,Messy
61,Loudly,Object,Loudly,Messy,Majestic,Passive,Leave,Reassuring,Misfortune,Masculine,Loyal,Loyal,Mysterious,Inherit,Juvenile,Inept,Messenger,Malice,Loyal,Mental,Move,Modern,Lawful,Natural,Nightmarish,Misfortune,Legal,Normal,Mighty,Lethal,Natural,Justice,Jealousy,Natural,Liquid,Messy,Number,Overthrow,Modern,Outcast,Light,New,Natural,Mysterious,Light,Mundane,Nondescript,Mighty,Military
62,Lovingly,Obscurity,Lovingly,Mighty,Mature,Peaceful,Lethal,Recruit,Mist,Mighty,Magic,Mature,Natural,Injury,Kind,Informative,Military,Misfortune,Manipulative,Military,Multi,Mountain,Lawless,Normal,Object,Mistrust,Lethal,Occupied,Military,Loud,Nature,Knowledge,Judge,New,Mental,Move,Occupation,Passion,Moving,Overcome,Limb,Normal,Nature,Natural,Limitation,Mysterious,Ocean,Mindless,Misfortune
63,Loyally,Official,Loyally,Military,Meaningful,Perfect,Loud,Release,Mysterious,Miserable,Mechanical,Meaningful,Neat,Injustice,Leadership,Intelligent,Mundane,Mistrust,Mercurial,Motion,Nature,Mundane,Magnificent,Open,Odorous,Move,Liberty,Odd,Misfortune,Lure,Nondescript,Liberty,Leadership,Occupied,Monster,Nature,Oh,Peace,Multiple,Past,Location,Odd,Nauseating,Near,Liquid,Natural,Odd,Miserable,Mundane
64,Majestically,Opposition,Majestically,Modern,Mechanical,Plant,Loyal,Riches,Natural,Multiple,Mighty,Messy,Normal,Legal,Lie,Interesting,Mystery,Mundane,Naive,Move,Object,Mysterious,Mighty,Others,Passive,Mundane,Limit,Open,Modern,Magic,Normal,Life,Legal,Odd,Multi,Pain,On,Persecute,Mundane,Peace,Magic,Official,Normal,Noisy,Loud,Normal,Peaceful,Misfortune,Mysterious
65,Meaningfully,Outside,Meaningfully,Mundane,Messy,Powered,Messy,Rough,Nature,Mundane,Military,Move,Odd,Loss,Loud,Intimidating,Official,Mysterious,Nervous,Mundane,Odd,Nature,Militaristic,Paralyze,Plant,Mysterious,Lonely,Oppressive,Mundane,Mechanical,Odd,Light,Lethal,Official,Nature,Partial,Or,Plans,Mysterious,Personal,Major,Old,Odd,Normal,Manipulation,Odd,People,Monstrous,Natural
66,Mechanically,Pain,Mechanically,Mysterious,Military,Powerful,Mistrust,Ruin,Normal,Mysterious,Mock,Mundane,Official,Military,Loving,Intrusive,Organizer,Nature,Oblivious,Mysterious,Old,Odd,Miserable,Physical,Reptilian,Neglect,Love,Opulent,Mysterious,Mental,Old,Love,Liberty,Old,Object,Power,Orn,Politics,Natural,Persuade,Manipulate,Open,Odorless,Odd,Mind,Portal,Plants,Mundane,Obscure
67,Mildly,Path,Mildly,Natural,Misfortune,Powers,Move,Ruthless,Occupied,Natural,Move,Mysterious,Old,Mistake,Loyal,Large,Outsider,Object,Obstinate,Nature,Partial,Old,Modern,Pierce,Robotic,Normal,Luck,Organized,Natural,Messy,Path,Magic,Loss,Open,Orb,Projectile,Oth,Possessions,New,Physical,Matter,Opposition,Offensive,Productivity,Nature,Possessions,Populated,Odd,Odd
68,Miserably,Peace,Miserably,Normal,Mistrust,Primitive,Mundane,Simple,Odd,Odd,Mysterious,Nice,Petite,Mundane,Macabre,Loud,Performer,Obligation,Optimistic,Normal,Passion,Oppress,Mundane,Poison,Rooted,Obscured,Malice,Plants,Neglect,Monster,Peaceful,Majestic,Love,Peaceful,Others,Protection,Ow,Powerful,Odd,Plan,Mental,Pain,Overpowering,Pursuit,Object,Power,Powerful,Old,Oppose
69,Mockingly,People,Mockingly,Odd,Modern,Prosperous,Mysterious,Skilled,Open,Official,Normal,Normal,Piercing,Nature,Mature,Meek,Persecutor,Official,Perceptive,Obstacles,Perception,Opulence,Mysterious,Power,Rough,Official,Meaningful,Poor,Normal,Natural,Plants,Major,Loyalty,Personal,Physical,Ranged,Ph,Public,Official,Power,Minor,Peace,Perfumed,Quiet,Others,Powerful,Primitive,Pain,Path
70,Mysteriously,Personal,Mysteriously,Old,Mundane,Psychic,Natural,Slow,Path,Old,Odd,Odd,Powerful,Outsider,Meaningful,Naive,Planner,Oppose,Perfectionist,Official,Physical,Peace,Old,Protection,Shape,Old,Miserable,Portal,Object,Object,Pond,Malice,Masses,Plain,Plants,Recharge,Pr,Refuse,Old,Prepare,Natural,Pleasures,Pleasurable,Reassuring,Pain,Prison,Rain,Pale,Peace
71,Naturally,Physical,Naturally,Pale,Mystery,Reptilian,Neglect,Small,Plants,Passive,Open,Official,Professional,Person,Miserable,Old,Pleaser,Pain,Practical,Open,Poor,Poor,Open,Proximity,Shifting,Oppose,Misfortune,Possessions,Occupied,Odd,Possessions,Masculine,Mighty,Portal,Poison,Release,R,Release,Ornamental,Problem,Nature,Portal,Powerful,Remarkable,Physical,Protection,Rare,Passive,People
72,Neatly,Plot,Neatly,Peaceful,Natural,Robotic,Normal,Stalemate,Pool,Peaceful,Oppose,Open,Reassuring,Place,Mistrust,Passive,Power,Passion,Prepared,Oppose,Possessions,Powerful,Oppressive,Pursue,Silent,Partial,Mistrust,Private,Odd,Old,Powerful,Mighty,Military,Protected,Potion,Replace,Rah,Remarkable,Ornate,Promise,Object,Possessions,Pungent,Rip,Plant,Quiet,Remarkable,Possessions,Place
73,Nicely,Portal,Nicely,Petite,Normal,Scary,Observe,Start,Quiet,Playful,Pain,Oppose,Regal,Poor,Mocking,Polite,Prisoner,Path,Principled,Perception,Power,Protected,Peaceful,Ranged,Simple,Passion,Mock,Protection,Open,Pain,Pursue,Military,Misfortune,Protection,Power,Requirement,Ren,Return,Personal,Protect,Others,Protection,Punishing,Roar,Poison,Rare,Resourceful,Possessive,Plans
74,Oddly,Possessions,Oddly,Plain,Odd,Scientific,Odd,Stop,Reassuring,Powerful,Path,Passion,Remarkable,Power,Mundane,Poor,Professional,Peace,Protect,Practical,Principles,Public,Polite,Rechargeable,Slender,Plans,Move,Quaint,Passage,Plants,Quiet,Minor,Monster,Purposeful,Ranged,Resistance,Sah,Riches,Powerful,Public,Physical,Reassuring,Putrid,Rumbling,Portal,Reassuring,Riches,Powerful,Plot
75,Offensively,Poverty,Offensively,Poor,Personal,Secretive,Oppose,Strange,Remarkable,Professional,Prepare,Peace,Rough,Prestige,Mysterious,Powerful,Protector,Physical,Quiet,Professional,Public,Quiet,Poor,Resistance,Small,Possessions,Mundane,Reassuring,Path,Portal,Rare,Monstrous,Move,Quiet,Resistance,Restore,Se,Royalty,Prized,Pursue,Plants,Repairable,Rancid,Rustling,Powerful,Remarkable,River,Powers,Positive
76,Officially,Power,Officially,Powerful,Physical,Servitor,Playful,Strong,Riches,Protected,Punish,Playful,Rustic,Privilege,News,Powerless,Public,Place,Quirky,Ranged,Rare,Rare,Powerful,Self-Sufficien,Solitary,Power,Mysterious,Roomy,Portal,Possessions,Reassuring,Mundane,Mundane,Reassuring,Restore,Reveal,Sh,Ruthless,Protection,Rare,Poison,Rotten,Reassuring,Scary,Protect,Resources,Rocky,Purposeful,Possessions
77,Partially,Prison,Partially,Protective,Power,Simple,Protect,Struggle,River,Protecting,Pursue,Pleasures,Scar,Pursued,Nice,Primitive,Punish,Plan,Rash,Release,Remarkable,Reassuring,Primitive,Senses,Spider-like,Propose,Nature,Rough,Possessions,Prison,Remarkable,Mysterious,Mysterious,Remote,Ring,Scary,Sha,Secret,Rare,Remote,Power,Rough,Reek,Scraping,Radius,Room,Rough,Pursue,Power
78,Passively,Project,Passively,Quaint,Pursuit,Skilled,Pursue,Success,Rock,Questioning,Rough,Possessions,Scary,Recruited,Normal,Principled,Radical,Pleasure,Rational,Rogue,Resistant,Remarkable,Punitive,Skill,Spiked,Punish,Neglect,Ruined,Quiet,Projectile,River,Nature,Natural,Resourceful,Rope,Senses,T,Security,Ready,Repair,Protect,Ruined,Rich,Scratching,Ranged,Rough,Ruined,Quiet,Preventable
79,Peacefully,Protection,Peacefully,Rare,Quaint,Slender,Quiet,Suffering,Rough,Quiet,Rude,Punish,Scented,Religion,Odd,Quiet,Religious,Power,Respectful,Ruin,Resource,River,Quaint,Sleep,Steaming,Pursue,Old,Rustic,Rare,Riddle,Rocks,Night,Old,Ruined,Rune,Simple,Ta,Servant,Reassuring,Repeat,Radius,Scary,Ripe,Simple,Resistance,Ruined,Ruins,Resistant,Reassuring
80,Perfectly,Reassurance,Perfectly,Reassuring,Random,Slow,Reassuring,Supplies,Scary,Reassuring,Ruin,Pursue,Scholarly,Rural,Offensive,Respectful,Represent,Pride,Responsible,Simple,Rich,Rough,Religious,Speed,Sticky,Rare,Oppress,Scary,Reassuring,Scary,Rough,Oppress,Oppose,Rustic,Safety,Skill,Tal,Spy,Resource,Require,Ranged,Shelter,Rot,Sizzle,Restore,Scary,Sandy,Rotting,Riches
81,Playfully,Representative,Playfully,Remarkable,Rare,Small,Release,Swift,Simple,Resourceful,Ruthless,Release,Short,Saved,Official,Rough,Rogue,Protect,Restless,Social,Sense,Ruined,Ruined,Spy,Stinger,Reassuring,Pain,Secure,Remarkable,Simple,Ruined,Pleasures,Oppress,Safe,Scroll,Stop,Tar,Strange,Ruined,Rescue,Reflect,Simple,Rotten,Slam,Self,Security,Scary,Scary,Riddle
82,Politely,Riches,Politely,Rotten,Reassuring,Smelly,Return,Tactics,Slippery,Seeking,Simple,Return,Simple,Search,Oppose,Rude,Ruffian,Pursue,Risk,Specialist,Skill,Rustic,Rustic,Stealth,Strange,Recipient,Passion,Security,Riches,Sounds,Scary,Power,Peace,Services,Self,Strange,Th,Strong,Small,Resource,Repel,Small,Savory,Slow,Senses,Simple,Simple,Seeking,Ruin
83,Positively,Safety,Positively,Rough,Remarkable,Strange,Scary,Take,Slope,Skilled,Slow,Simple,Sinister,Seclusion,Peace,Simple,Ruler,Rare,Rude,Start,Small,Simple,Ruthless,Stop,Strong,Reveal,Peace,Simple,Room,Stab,Simple,Protector,Plot,Simple,Senses,Strength,Thah,Struggle,Soft,Response,Resistance,Smelly,Smelly,Soft,Shield,Small,Small,Shambling,Scary
84,Powerfully,Strength,Powerfully,Ruined,Rough,Strong,Simple,Technology,Small,Slow,Spy,Slow,Small,Service,Plans,Skilled,Scholar,Recover,Savvy,Stop,Social,Small,Scary,Strange,Supernatural,Riches,Permanent,Sleep,Rough,Stop,Slope,Punish,Possessions,Small,Skill,Strong,Thoh,Succession,Solitary,Reveal,Reveal,Strange,Smokey,Start,Soul,Sounds,Strange,Slow,Simple
85,Quaintly,Success,Quaintly,Rustic,Rustic,Suffering,Slow,Tension,Smelly,Small,Stop,Start,Smelly,Sheltered,Playful,Slow,Scientist,Reveal,Searching,Strange,Specialized,Sparse,Simple,Stun,Tail,Riddle,Possessions,Small,Ruined,Strange,Small,Ruler,Power,Spacious,Special,Struggle,Ti,Suffering,Stolen,Revenge,Self,Struggle,Sour,Stop,Strange,Start,Strong,Small,Strange
86,Quarrelsomely,Suffering,Quarrelsomely,Scary,Scary,Tail,Strange,Testing,Smooth,Stealthy,Strange,Stop,Stocky,Skill,Polite,Small,Scout,Revenge,Selfish,Strength,Spirit,Structures,Small,Substance,Tentacled,Rumor,Punish,Smelly,Rustic,Strangle,Sounds,Sacrifice,Punish,Storage,Speed,Suffer,Time,Suppress,Strange,Reversal,Sense,Success,Stagnant,Strange,Strength,Stop,Technology,Smelly,Struggle
87,Quietly,Surprise,Quietly,Shocking,Simple,Tall,Struggle,Threatening,Sounds,Strange,Struggle,Strange,Strange,Strange,Positive,Sneaky,Servant,Riches,Selfless,Struggle,Strange,Struggle,Strange,Summon,Tongue,Secret,Pursue,Sparse,Scary,Suppress,Strange,Strange,Pursue,Strange,Spell,Suppress,Tor,Tactics,Stylish,Reward,Skill,Supply,Stale,Tapping,Stun,Storage,Threatening,Strange,Success
88,Roughly,Tactic,Roughly,Simple,Slow,Technological,Swift,Tired,Stalactites,Strong,Suppress,Struggle,Striking,Successful,Praise,Sophisticated,Socialite,Safety,Shallow,Suppress,Strong,Success,Strong,Suppress,Toothy,Start,Riches,Storage,Simple,Take,Strong,Strong,Release,Stylish,Staff,Surroundings,Uh,Tension,Threatening,Skill,Spirit,Technology,Stench,Technology,Summon,Strange,Toxic,Strong,Suffering
89,Rudely,Technology,Rudely,Small,Social,Tentacled,Tactics,Travel,Strange,Tall,Swift,Swift,Strong,Survival,Quarrelsome,Strange,Soldier,Search,Social,Take,Suffering,Suffering,Struggling,Swim,Transparent,Stop,Ruin,Strange,Small,Toxin,Threatening,Suppress,Return,Suspicious,Strange,Survive,Va,Travel,Tool,Social,Stealth,Tool,Stinging,Threatening,Time,Supplies,Tranquil,Threatening,Suppress
90,Ruthlessly,Tension,Ruthlessly,Smooth,Strange,Threatening,Take,Triumph,Threatening,Thieving,Take,Tactics,Stylish,Tradition,Quiet,Strong,Student,Serve,Strange,Technology,Technical,Technology,Successful,Take,Tree-like,Strange,Senses,Temporary,Smelly,Transform,Tranquil,Threatening,Riches,Tall,Summon,Swim,Vah,Trust,Travel,Solution,Strange,Travel,Strange,Thud,Transform,Survival,Trees,Tough,Tension
91,Slowly,Time,Slowly,Soft,Strong,Toothy,Threatening,Truce,Tight,Threatening,Technology,Take,Tall,Training,Reassuring,Supportive,Subverter,Start,Strong,Transform,Technology,Tension,Suffering,Telepathy,Twisted,Struggle,Separate,Thoughtful,Sound,Transport,Tree,Transform,Ruin,Threatening,Sword,Toxic,Ve,Usurp,Unexpected,Strange,Summon,Triumph,Strong,Traffic,Trap,System,Unusual,Transform,Threat
92,Softly,Trial,Softly,Strong,Struggle,Travelers,Tranquil,Trust,Tranquil,Triumphant,Threaten,Technology,Tattoo,Trauma,Refuse,Surprising,Supporter,Stop,Studious,Travel,Tough,Travel,Suppressed,Touch,Undead,Success,Start,Tidy,Stairs,Treasure,Unusual,Underworld,Savior,Tranquil,Tool,Transform,Vice,Valuable,Unpleasant,Success,Switch,Trouble,Stuffy,Tranquil,Travel,Tactics,Valuable,Travel,Time
93,Strangely,Value,Strangely,Stylish,Tension,Treacherous,Transform,Unequipped,Treasure,Unexpected,Trick,Threatening,Tools,Travel,Rude,Sweet,Survivor,Strange,Superstitious,Trick,Travel,Troubled,Suspicious,Transform,Unnatural,Tension,Stop,Tools,Stonework,Trials,Valuable,Violent,Stop,Unexpected,Transform,Travel,Virtue,Vengeance,Unusual,Tension,Take,Useless,Sulphuric,Uncertain,Trigger,Technology,Violent,Trick,Travel
94,Swiftly,Vehicle,Swiftly,Unpleasant,Travel,Violent,Trick,Unexpected,Unnatural,Unnatural,Truce,Trust,Trendy,Urban,Rumor,Trained,Teacher,Struggle,Tolerant,Usurp,Trouble,Valuable,Treacherous,Travel,Verbal,Threaten,Strange,Tranquil,Technology,Trigger,Violent,War,Strange,Unpleasant,Trap,Usurp,Wah,Victory,Useful,Trap,Technology,Valuable,Sweet,Warning,Uncertain,Travel,Warm,Vengeful,Trouble
95,Threateningly,Victory,Threateningly,Valuable,Trials,Warlike,Trust,Untrained,Unstable,Unusual,Usurp,Violent,Unusual,War,Simple,Uniformed,Thief,Success,Vindictive,Vehicle,Trustworthy,Warm,Warlike,Trick,Warm,Truce,Struggle,Upgrade,Trap,Unleash,Warm,Warm,Struggle,Unusual,Travel,Violence,Wr,Violence,Useless,Travel,Time,Vehicle,Warm,Water,Undead,Unusual,Water,Violent,Trust
96,Timidly,Vulnerability,Timidly,Vibrant,Vengeance,Wary,Violent,Victory,Untouched,Violent,Vehicle,Waste,Very,Wealth,Threatening,Unusual,Trader,Suffering,Vocal,Violence,Unusual,Water,Weak,Uncommon,Weak,Trust,Success,Utilitarian,Treasure,Wall,Watery,Water,Theft,Useful,Useful,Vulnerability,X,War,Valuable,Unknown,Transform,Victory,Waste,Weather,Wall,Valuable,Weak,Weak,Uncertain
97,Very,Weapon,Very,Warm,Very,Watery,Warn,Violate,Warm,Vocal,Vengeance,Weapons,Weak,Wild,Truce,Weak,Victim,Support,Wary,Water,Very,Weak,Wealthy,Vision,Weapon,Unknown,Temporary,Valuables,Unnatural,Warning,Weak,Weak,Trust,Warm,Utility,Warm,Y,Weak,Warm,Unlikely,Trap,Violence,Watery,Whirring,Water,Vehicle,Weather,Weakness,Unsettling
98,Violently,Weather,Violently,Watery,Violent,Weak,Waste,Waste,Waste,Weak,Waste,Wild,Weapon,Work,Trust,Wealthy,Villain,Take,Weak,Weapon,Weak,Weather,Welcoming,Vulnerable,Wings,Vengeance,Vengeance,View,Valuable,Water,Weather,Weapon,Usurp,Warning,Wand,Weak,Yah,Wealth,Weapon,Unusual,Travel,Warm,Weak,Whistle,Weak,Warm,Wild,Weapons,Violence
99,Wildly,Work,Wildly,Weak,Warlike,Wings,Wild,Weak,Water,Wild,Weapon,Work,Wounded,Wounded,Warm,Wild,Wanderer,Transform,Wild,Weather,Weapon,Wild,Wild,Weak,Wooden,Violence,Violence,Warm,Warm,Weapon,Wild,Weather,Vengeance,Watery,Water,Weapon,Yuh,Weapon,Wet,Urgent,Weapon,Waste,Weather,Wild,Weapon,Weapon,Windy,Wounds,Warning
100,Yieldingly,Wound,Yieldingly,Young,Wild,Wormish,Yield,Weapons,Windy,Young,Withdraw,Yield,Young,Youth,Wild,Young,Warrior,Travel,Wise,Wounds,Young,Work,Young,Weapon,Wormish,Warning,Weapon,Water,Watery,Wound,Young,Worshiped,Villain,Welcoming,Weapon,Wound,Z,Young,Worn,Useful,Weather,Weapon,Woody,Wind,Weather,Work,Wonders,Young,Weapon